19:35:02.931 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.931 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.931 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.931 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.931 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.931 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.932 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.932 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.932 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.932 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.932 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.932 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.932 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.932 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.932 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.932 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.933 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.933 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.933 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.933 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.933 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.933 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.933 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.933 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.934 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.934 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.934 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.934 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.934 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.934 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.934 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.934 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.934 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.934 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.935 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.935 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.935 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.935 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.935 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
19:35:02.936 [main] INFO  by.bakhar.task4.entity.impl.Composite - component was add
